p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.55148081956473,0.958,0.133,0,0,CCL2
0,3.48985870318822,0.887,0.129,0,0,CCL8
0,3.08050836944342,0.519,0.032,0,0,CCL7
0,2.61544647228611,0.991,0.143,0,0,APOBEC3A
0,2.58664797791754,0.998,0.794,0,0,FTL
0,2.43269990772266,0.976,0.137,0,0,C15orf48
0,2.42719514167706,0.937,0.108,0,0,IDO1
0,2.35942266189691,0.857,0.092,0,0,IL1RN
0,2.28045158790908,0.896,0.145,0,0,LGALS3
0,2.23963866269583,0.825,0.078,0,0,LYZ
0,2.18005267084907,0.866,0.127,0,0,CTSB
0,2.17569765535725,0.939,0.179,0,0,SOD2
0,2.16995338138332,0.953,0.215,0,0,TIMP1
0,2.15412879735773,0.793,0.115,0,0,CTSL
0,2.13683875160363,0.627,0.03,0,0,S100A9
0,2.05547104607907,0.97,0.344,0,0,CXCL10
0,2.05393896610391,0.885,0.126,0,0,CXCL11
0,2.03181827785503,0.5,0.018,0,0,S100A8
0,2.01951203857542,0.923,0.171,0,0,LGALS1
0,2.00120232291825,0.969,0.168,0,0,FCER1G
0,1.99904845055015,0.97,0.237,0,0,CD63
0,1.98564960822182,0.992,0.186,0,0,TYROBP
0,1.94097076263278,0.851,0.103,0,0,NINJ1
0,1.92999709421056,0.804,0.074,0,0,FCN1
0,1.92469936543711,0.949,0.238,0,0,ANXA5
0,1.90582713745732,0.794,0.079,0,0,IGSF6
0,1.90062253264863,0.987,0.357,0,0,TYMP
0,1.88449568320882,0.638,0.033,0,0,PLA2G7
0,1.87377001363523,0.858,0.142,0,0,S100A4
0,1.79986024732358,0.589,0.089,0,0,CCL3
0,1.75170136385578,0.801,0.227,0,0,CSTB
0,1.74035239546644,0.995,0.385,0,0,IFITM3
0,1.71065838501578,0.636,0.043,0,0,HPSE
0,1.70462100985966,0.92,0.126,0,0,CST3
0,1.67073449649778,0.32,0.019,0,0,CXCL8
0,1.63815317974792,0.999,0.98,0,0,ISG15
0,1.6225804878582,0.371,0.019,0,0,SDS
0,1.61892681029967,0.653,0.061,0,0,MAFB
0,1.61585979687711,0.906,0.216,0,0,GSTO1
0,1.60983007377027,0.782,0.1,0,0,KYNU
0,1.60155466279528,0.968,0.389,0,0,S100A10
0,1.55931517074018,0.746,0.137,0,0,HSPA1A
0,1.55503737656107,0.7,0.087,0,0,IL4I1
0,1.54060365614344,0.463,0.118,0,0,CCL4
0,1.537033654008,0.875,0.238,0,0,SDCBP
0,1.51209545566133,0.708,0.106,0,0,CALHM6
0,1.50649121744018,0.967,0.506,0,0,RSAD2
0,1.50361643178024,0.544,0.043,0,0,MS4A6A
0,1.49341851961256,0.989,0.468,0,0,S100A11
0,1.46204378732764,0.529,0.039,0,0,DEFB1
0,1.45920886261762,0.707,0.085,0,0,SPI1
0,1.45058229364055,0.907,0.284,0,0,ANXA2
0,1.44721059957794,0.9,0.219,0,0,TNFSF13B
0,1.44425433898692,0.928,0.283,0,0,NPC2
0,1.44335902905198,0.593,0.053,0,0,LILRB4
0,1.42903570203161,0.997,0.708,0,0,SAT1
0,1.41557353436409,0.704,0.109,0,0,PLEK
0,1.41487983831864,0.426,0.017,0,0,CLEC4E
0,1.41387000686829,0.41,0.042,0,0,TNFAIP6
0,1.41095625100468,0.721,0.116,0,0,CD68
0,1.4058687340214,0.864,0.199,0,0,PSAP
0,1.39043169434061,1,0.98,0,0,FTH1
0,1.37612761731637,0.571,0.157,0,0,CTSC
0,1.36313387217007,0.73,0.166,0,0,HSPB1
0,1.36180659697429,0.572,0.064,0,0,ATF5
0,1.34498630446979,0.499,0.059,0,0,CTSD
0,1.34021031039277,0.538,0.041,0,0,CCR1
0,1.31128754532419,0.622,0.099,0,0,NCF1
0,1.30693671116882,0.522,0.058,0,0,CFP
0,1.28178918802077,0.582,0.092,0,0,GLUL
0,1.27278317205666,0.602,0.086,0,0,GRN
0,1.2709234787215,0.978,0.521,0,0,EMP3
0,1.25054015992126,0.506,0.052,0,0,CD300E
0,1.24969680666749,0.877,0.364,0,0,NFKBIA
0,1.2482465812353,0.64,0.094,0,0,FGL2
0,1.24240147401153,0.616,0.097,0,0,MNDA
0,1.23427936798443,0.915,0.377,0,0,S100A6
0,1.22763597390399,0.558,0.066,0,0,CFD
0,1.22426632514816,0.543,0.08,0,0,PLAUR
0,1.21679254503339,0.421,0.029,0,0,IL27
0,1.20103141962643,0.38,0.044,0,0,HMOX1
0,1.19634420475928,0.161,0.006,0,0,CXCL3
0,1.18864687369754,0.858,0.332,0,0,ATP6V1F
0,1.18835607714384,0.582,0.075,0,0,PILRA
0,1.18133662335143,0.844,0.249,0,0,RAC1
0,1.16621406957861,0.531,0.081,0,0,CAPG
0,1.15447092389725,0.673,0.115,0,0,C3AR1
0,1.15208842842986,0.556,0.097,0,0,SLAMF7
0,1.14874800698593,0.442,0.05,0,0,DRAM1
0,1.14719952956448,0.838,0.273,0,0,TXN
0,1.12642897480586,0.312,0.019,0,0,MIR3945HG
0,1.11478103416669,0.419,0.034,0,0,PDE4DIP
0,1.1077148259241,0.406,0.033,0,0,CCRL2
0,1.09859372958543,0.484,0.092,0,0,HES4
0,1.09045016793925,0.955,0.424,0,0,CLIC1
0,1.08376643667025,0.977,0.582,0,0,TNFSF10
0,1.08158525133129,0.622,0.13,0,0,NAGK
0,1.06615725019589,0.427,0.044,0,0,FCGRT
0,1.05299724106848,0.222,0.015,0,0,APOBEC3B
0,1.04372239916915,0.679,0.217,0,0,GPX4
0,1.03612658084059,0.491,0.08,0,0,SNX10
0,1.0271358373428,0.415,0.048,0,0,CREG1
0,1.018021390026,0.504,0.095,0,0,SAT2
0,1.01447243093258,0.231,0.016,0,0,CD14
0,1.00487767392629,0.95,0.519,0,0,DYNLT1
0,1.00433369745898,0.506,0.085,0,0,SLC31A2
0,0.99242494245966,0.348,0.042,0,0,ANKRD22
0,0.990575888270411,0.645,0.156,0,0,WARS
0,0.98253291387261,0.55,0.115,0,0,STX11
0,0.982170343858934,0.884,0.272,0,0,HLA-DRB1
0,0.978913372367561,0.374,0.037,0,0,NCF2
0,0.976955665390817,0.854,0.342,0,0,CTSS
0,0.975379593675567,0.952,0.29,0,0,HLA-DRA
0,0.975375516307136,0.733,0.24,0,0,ATP6V0B
0,0.971384105780502,0.652,0.208,0,0,VAMP5
0,0.970290501968141,0.376,0.044,0,0,MXD1
0,0.962370074937913,0.353,0.031,0,0,NECTIN2
0,0.961379672456999,0.228,0.012,0,0,CYP1B1
0,0.958896857195605,0.321,0.024,0,0,DUSP6
0,0.958473954460727,0.506,0.092,0,0,LST1
0,0.956642624569496,0.467,0.073,0,0,AIF1
0,0.947088311458712,0.492,0.123,0,0,WTAP
0,0.94500240974559,0.942,0.633,0,0,IFIT2
0,0.940094026439134,0.633,0.185,0,0,SQSTM1
0,0.939918895157344,0.433,0.063,0,0,BRI3
0,0.924533391271338,0.344,0.035,0,0,MARCKS
0,0.924259369763704,0.306,0.028,0,0,AQP9
0,0.920304065548767,0.365,0.044,0,0,CTSZ
0,0.919138169138681,0.452,0.08,0,0,ACOT9
0,0.918420324823646,0.477,0.099,0,0,LYN
0,0.91654457246673,0.602,0.086,0,0,MS4A7
0,0.910697896877922,0.371,0.052,0,0,SERPING1
0,0.909796321825622,0.47,0.094,0,0,ATP6V1B2
0,0.908492910006347,0.2,0.009,0,0,CXCL2
0,0.900252453794808,0.729,0.261,0,0,SSB
0,0.899184098184106,0.366,0.05,0,0,RAB31
0,0.895052973187091,0.268,0.023,0,0,ACOD1
0,0.894501245625776,0.922,0.524,0,0,VIM
0,0.891294868570388,0.287,0.02,0,0,FPR3
0,0.891095810610416,0.66,0.199,0,0,RAB5IF
0,0.890919756329231,0.946,0.498,0,0,CYBA
0,0.887379459298194,0.552,0.136,0,0,BID
0,0.885987115615119,0.31,0.021,0,0,EMP1
0,0.884704056437918,0.253,0.022,0,0,OLR1
0,0.872572142447116,0.37,0.051,0,0,CYBB
0,0.872334110434211,0.343,0.042,0,0,HESX1
0,0.867449544606628,0.309,0.036,0,0,RAB32
0,0.867130119024226,0.414,0.082,0,0,ATOX1
0,0.864617659703131,0.61,0.173,0,0,RABGAP1L
0,0.862355829683897,0.327,0.033,0,0,CCR5
0,0.860623863059642,0.346,0.053,0,0,IFI30
0,0.8517227715046,0.486,0.116,0,0,MARCKSL1
0,0.850743611003028,0.358,0.055,0,0,LILRB2
0,0.844446980790914,0.88,0.396,0,0,CARD16
0,0.844063022425013,0.344,0.044,0,0,PTGER2
0,0.837349456596681,0.593,0.171,0,0,ATG3
0,0.835933892232082,0.455,0.101,0,0,SCARB2
0,0.832481998320666,0.378,0.056,0,0,SERPINA1
0,0.832413851663769,0.323,0.039,0,0,SGTB
0,0.831226815915408,0.263,0.018,0,0,C5AR1
0,0.830424217946592,0.603,0.176,0,0,SQOR
0,0.828289674678141,0.419,0.08,0,0,CD86
0,0.821707818346817,0.353,0.053,0,0,NADK
0,0.820395263566814,0.229,0.017,0,0,LGALS2
0,0.817181867273146,0.658,0.245,0,0,GLRX
0,0.816594060430243,0.267,0.011,0,0,LHFPL2
0,0.814719109357043,0.442,0.084,0,0,LMNA
